Name,Company,Pay,Age
Michael J Burns,Dana,2405e3,>=50
Thomas R Watjen,UnumProvident,237e4,>=50
Parker S Kennedy,First American,2365e3,>=50
Bradbury H Anderson,Best Buy,234e4,>=50
Richard Sands,Constellation Brands,23e5,>=50
J W Stewart,BJ Services,23e5,>=50
David P Steiner,Waste Management,229e4,<50
Paul S Beideman,Associated Banc-Corp,227e4,>=50
David M McClanahan,CenterPoint Energy,2265e3,>=50
Kenneth M Jastrow II,Temple-Inland,225e4,>=50
Edward J Kelly III,Mercantile Bkshs,224e4,>=50
Thomas C Gallagher,Genuine Parts,223e4,>=50
Richard T Clark,Merck & Co,223e4,>=50
William E Mitchell,Arrow Electronics,22e5,>=50
Frank C Lanza,L-3 Communications,218e4,>=50
Harris H Simmons,Zions Bancorp,218e4,>=50
Thomas J Matthews,Intl Game Technology,217e4,<50
Joseph H Moglia,TD Ameritrade Holding,217e4,>=50
Philip J Schoonover,Circuit City Stores,217e4,<50
Christopher J Kearney,SPX,214e4,>=50
Daniel E Berce,AmeriCredit,2126e3,>=50
Timothy L Main,Jabil Circuit,21e5,<50
Brian L Halla,Natl Semiconductor,2089999.9999999998,>=50
John A Luke Jr,MeadWestvaco,208e4,>=50
Paula G Rosput Reynolds,Safeco,204e4,>=50
Edward R Muller,Mirant,202e4,>=50
Craig A Dubow,Gannett,2025999.9999999998,>=50
Gary L Rainwater,Ameren,202e4,>=50
W G Jurgensen,Nationwide Financial,2009999.9999999998,>=50
William S Kirsch,Conseco,2e6,<50
John P Wiehoff,CH Robinson Worldwide,199e4,<50
Lothar Maier,Linear Technology,197e4,>=50
David A Perdue Jr,Dollar General,1945e3,>=50
Richard E Anthony,Synovus Finl,1946e3,>=50
Lowry F Kline,Coca-Cola Enterprises,1926e3,>=50
Clarence Otis Jr,Darden Restaurants,191e4,>=50
David B Snow Jr,Medco Health,1915e3,>=50
Patrick T Stokes,Anheuser-Busch Cos,189e4,>=50
A C Zucaro,Old Republic Intl,1885e3,>=50
Dennis R Wrasse,Pepco Holdings,183e4,>=50
John J Zillmer,Allied Waste Inds,183e4,>=50
Patrick J Moore,Smurfit-Stone,182e4,>=50
Paul C Varga,Brown-Forman,1796e3,<50
Roy Vallee,Avnet,179e4,>=50
Jay S Sidhu,Sovereign Bancorp,1785e3,>=50
Felix E Wright,Leggett & Platt,175e4,>=50
Thomas F Farrell II,Dominion Resources,1756e3,>=50
Joseph V Vumbacco,Health Management,171e4,>=50
Jeffery W Yabuki,Fiserv,168e4,<50
Howard Solomon,Forest Labs,165e4,>=50
David W Joos,CMS Energy,NA,>=50
Richard L Carrion,Popular,162e4,>=50
Michael R Splinter,Applied Materials,161e4,>=50
William R Nuti,NCR,161e4,<50
Todd S Nelson,Apollo-Education Group,153e4,<50
Kevin Burke,Consolidated Edison,1536e3,>=50
Charles W Shivery,Northeast Utilities,153e4,>=50
Andrea Jung,Avon Products,149e4,<50
Steven R Appleton,Micron Technology,147e4,<50
Douglas M Steenland,Northwest Airlines,NA,>=50
Robert E Rossiter,Lear,143e4,>=50
Brenda C Barnes,Sara Lee,1436e3,>=50
Jonathan J Judge,Paychex,141e4,>=50
Mark A Ernst,H&R Block,14e5,<50
J Kenneth Glass,First Horizon National,139e4,>=50
Ronald L Havner Jr,Public Storage,138e4,<50
Dennis J FitzSimons,Tribune,136e4,>=50
Eric Claus,Great A&P Tea,135e4,<50
Mary F Sammons,Rite Aid,132e4,>=50
James L Ziemer,Harley-Davidson,129e4,>=50
John Chapple,Nextel Partners,126e4,>=50
Michael L Eskew,United Parcel Service,125e4,>=50
William C Rhodes III,AutoZone,123e4,<50
Robert E Sadler Jr,M&T Bank,122e4,>=50
Thomas E Hoaglin,Huntington Bancshs,121e4,>=50
Scott Kriens,Juniper Networks,121e4,<50
Michael I Roth,Interpublic Group,12e5,>=50
Milton Cooper,Kimco Realty,1205e3,>=50
Richard P Wallace,KLA-Tencor,1186e3,<50
John J Schiff Jr,Cincinnati Financial,115e4,>=50
Glenn F Tilton,UAL,112e4,>=50
Fredric W Corrigan,Mosaic,11e5,>=50
Donald E Graham,Washington Post,11e5,>=50
George Paz,Express Scripts,NA,>=50
Robert W Matschullat,Clorox,105e4,>=50
Merrill A Miller Jr,National Oilwell Varco,1034999.9999999999,>=50
Steven H Temares,Bed Bath & Beyond,103e4,<50
Jay M Gellert,Health Net,1034999.9999999999,>=50
Lawrence W Kellner,Continental Airlines,103e4,<50
Steven A Ballmer,Microsoft,101e4,>=50
Bernard Cammarata,TJX Cos,1e6,>=50
Dara Khosrowshahi,Expedia,1e6,<50
Gregory B Maffei,Liberty Media,1e6,<50
Gary M Rodkin,ConAgra Foods,1e6,>=50
Robert P Kelly,Mellon Finl,98e4,>=50
